"FileId","Status","ReadIndex","ReadTimestamp","FullName","RelPath","Extension","SizeBytes","SHA256","Category","CategoryLabel","EvidenceType","Model","Date","TestType","FailureMode","FailureExplanation","KeyFindings","KeyClaims","Relevance","ExtractPath","FullIncludePath","Notes","RelatedFiles","DuplicateOf","Reviewer"
"FRV2-0001","complete","1","2026-01-29 01:45:13","Legacy/MetaMD_Archive/SN_Notes.md","Legacy\MetaMD_Archive\SN_Notes.md",".md","46178","C398C9A6CC524D9A22B9AC5461C75D583DAA9F83E768849060015AABF78B1E86","3","failed_attempts","analysis","AI #1/AI #2","","","inconsistency; case_split_omission; nonconvergence","AI cycles through fixes that claim success then later admit delta-case and mu-drop blockers, illustrating contradictions and repair loops.","Kappa definitional case split breaks universal lemma; claims build green then retracts due to mu-drop requiring forbidden bound; proposes +2 bump to avoid mu.","Kappa_rec universal lemma is false; delta-case ties force mu; +2 bump avoids mu.","High","extracts/03_failed_attempts/2026-01-29__SN_Notes__failed_attempts__001.md","","Legacy MetaMD archive notes; not a raw transcript.","","","Codex"
"FRV2-0002","complete","2","2026-01-29 01:46:13","Legacy/MetaMD_Archive/SN.md","Legacy\MetaMD_Archive\SN.md",".md","8110","858BAD08D3252362BE02AB7CD42252F0B192828C755118D9A606C957048B5FE0","3","failed_attempts","code","","2025-08-14","","case_split_omission; nonconvergence","Full Lean proof attempt for SN_Final that later diagnostics show cannot close the delta-case without disallowed mu bounds.","Defines kappaD+mu lexicographic measure and rec_succ drop lemma; intended to prove SN for full Step.","kappaD_drop_recSucc proves strict drop; measure_drop_of_step covers all rules.","High","","full_includes/2026-01-29__SN__full__001.md","Full copy included for reference.","Legacy\\MetaMD_Archive\\SN_Notes.md","","Codex"
"FRV2-0003","complete","3","2026-01-29 01:46:55","Legacy/MetaMD_Archive/MuCore.md","Legacy\MetaMD_Archive\MuCore.md",".md","3704","4A663976D673AEA17AE4C6DEF5B61874386865E5AD89B4705A25B82D9C85F20F","3","failed_attempts","code","","","","nonconvergence","Contains ordinal helper lemmas supporting mu-based termination proofs that later fail at rec_succ without additional constraints.","Defines ordinal inequality helpers and re-exports mu_lt_eq_diff.","mu_lt_eq_diff and opow monotonicity helpers used in termination arguments.","Med","","full_includes/2026-01-29__MuCore__full__001.md","Lean snippet from MetaMD archive.","Legacy\\MetaMD_Archive\\MuCore_Diag.md","","Codex"
"FRV2-0004","complete","4","2026-01-29 01:47:52","Legacy/MetaMD_Archive/MuCore_Diag.md","Legacy\MetaMD_Archive\MuCore_Diag.md",".md","53303","CB35E31AB416365F5909E16F2DFDF236138978C48DD5B87ABBA1FDD73897FFD1","3","failed_attempts","diagnostic","","","","type_mismatch; invalid_rewrite; proof_obligation_stuck; nonconvergence","Ordinal arithmetic lemmas fail with type mismatches and unresolved goals, blocking mu-based proof steps.","Lean diagnostics show repeated simp failures, missing instances, and type mismatches in ordinal inequalities.","MuCore ordinal bounds are not discharging; proof stuck.","High","extracts/03_failed_attempts/2026-01-29__MuCore_Diag__diagnostic__001.md","","Diagnostic log output.","Legacy\\MetaMD_Archive\\MuCore.md","","Codex"
"FRV2-0005","complete","5","2026-01-29 01:48:38","Legacy/MetaMD_Archive/MuCore_Diag_Reports.md","Legacy\MetaMD_Archive\MuCore_Diag_Reports.md",".md","15823","23C93BAEC754BD36857AE0E5FB64D8163ACD13BF963E83448F00E90AEF85AEC8","3","failed_attempts","analysis","Copilot / agent notes","2025-08-13","","environment_mismatch; undefined_symbol; invalid_rewrite; proof_obligation_stuck; nonconvergence","Diagnostic reports catalog repeated ordinal proof failures and ad-hoc fix plans, evidencing fragile mu-based termination tooling.","Summarizes root causes: missing mu namespace, unsafe ordinal rewrites, exponent-shape mismatch, tactic misuse; proposes fixes.","MuCore mu_lt_eq_diff blocked by ordinal rewrite errors; fixes require strict monotonicity and principal-add lemma usage.","High","","full_includes/2026-01-29__MuCore_Diag_Reports__full__001.md","Multi-report diagnostic summary; ends with 'Diagnostic Report #4' header.","Legacy\\MetaMD_Archive\\MuCore_Diag.md","","Codex"
"FRV2-0006","complete","6","2026-01-29 02:53:40","Legacy/MetaMD_Archive/AI_BrainStorm_SN.md","Legacy\MetaMD_Archive\AI_BrainStorm_SN.md",".md","31579","141EF8AC9DDBE7217FDAD41236DCD26CD24958845EBF924E8C12746DD1668FDD","3","failed_attempts","analysis","AI synth","","","nonconvergence; environment_mismatch; proof_obligation_stuck","Planning memo shows repeated repair attempts around missing ? lemmas and brittle ? handling rather than a completed proof.","Recommends Termination_Lex+MuCore path; notes mu_lt_eq_diff missing; highlights ?-case ? tie in SN_Final.","?/? lex scaffold; ? bumps only on rec? delta; mu_lt_eq_diff must be in scope.","Med","extracts/03_failed_attempts/2026-01-29__AI_BrainStorm_SN__analysis__001.md","","Synthesis plan of suggestions.","Legacy\\MetaMD_Archive\\Termination_Lex.md; Legacy\\MetaMD_Archive\\MuCore.md","","Codex"
"FRV2-0007","complete","7","2026-01-29 02:54:33","Legacy/MetaMD_Archive/all_suggestions.md","Legacy\MetaMD_Archive\all_suggestions.md",".md","63346","3169AE5AC44818164F17CF7CD0E5DF71384A813065FF7E4F640C88533FE4BA86","4","misc","analysis","GPT-5 / mixed","","","nonconvergence; environment_mismatch; proof_obligation_stuck","Consolidated suggestion dump shows repeated repair plans around missing mu_lt_eq_diff and banned rec_succ_bound, indicating nonconvergence.","Lex harness recommended; mu_lt_eq_diff missing; legacy files toxic; repeated proof outlines.","Kappa drops only on rec_succ; mu drop for other seven rules.","Med","","full_includes/2026-01-29__all_suggestions__full__001.md","Large mixed-content suggestion log; contains encoding artifacts.","Legacy\\MetaMD_Archive\\Termination_Lex.md; Legacy\\MetaMD_Archive\\MuCore.md","","Codex"
"FRV2-0008","complete","8","2026-01-29 02:55:20","Legacy/MetaMD_Archive/Claude_SN_Companion.md","Legacy\MetaMD_Archive\Claude_SN_Companion.md",".md","8058","BDE1960524EF05D8055C099D2B308158EE75AA1AA22FEB230E12BD5A0D106672","3","failed_attempts","analysis","Claude","","","nondecreasing_measure; proof_obligation_stuck","Shows ? tie in nested delta case forces a ? inequality that is false, so the proof cannot close.","7/8 rules handled; rec_succ delta-of-delta case fails due to false bound.","?/? lex works for 7 rules; ? inequality fails when ?(s) > 0.","High","","full_includes/2026-01-29__Claude_SN_Companion__full__001.md","Technical companion to Claude_SN attempt.","Legacy\\MetaMD_Archive\\Claude_SN.md","","Codex"
"FRV2-0009","complete","9","2026-01-29 02:56:07","Legacy/MetaMD_Archive/claude_sn_errors.md","Legacy\MetaMD_Archive\claude_sn_errors.md",".md","7957","9DA5CFE635D880421726BD6103939403035D13E232491B0923FD7512EC2E5014","3","failed_attempts","diagnostic","Claude","2025-08-13","","proof_obligation_stuck; undefined_symbol; environment_mismatch","Build log shows missing step cases and unknown identifiers, so the proof script fails to elaborate.","Missing cases for eq_diff/eq_refl/rec_succ; unknown identifier _root_.t.","Claude_SN proof incomplete in measure_decreases cases.","High","extracts/03_failed_attempts/2026-01-29__claude_sn_errors__diagnostic__001.md","","Diagnostic log excerpt.","Legacy\\MetaMD_Archive\\Claude_SN.md","","Codex"
"FRV2-0010","duplicate","10","2026-01-29 02:56:43","Legacy/MetaMD_Archive/claude_sn_errors.txt","Legacy\MetaMD_Archive\claude_sn_errors.txt",".txt","7857","2ED831F1EDEBB0240585FD181A2EB7DAF7724DEF2859E0A4E233FCB796A9BBD7","3","failed_attempts","diagnostic","Claude","2025-08-13","","proof_obligation_stuck; undefined_symbol; environment_mismatch","Duplicate of claude_sn_errors.md diagnostic log.","Duplicate content.","","Low","extracts/03_failed_attempts/2026-01-29__claude_sn_errors__diagnostic__001.md","","Duplicate of FRV2-0009.","Legacy\\MetaMD_Archive\\claude_sn_errors.md","FRV2-0009","Codex"
